"","gene","padj"
"1","ADAM12",0.0357663373295228
"2","ADGRG1",0.0448859498249543
"3","APBA2",0.0242842137548815
"4","AQP3",0.0139634799787993
"5","ARID5B",0.00483389444525707
"6","BCL2L11",0.0139333319362378
"7","C1orf162",0.00940923199595717
"8","CCL5",0.0252905401434682
"9","CD160",0.000152115114034021
"10","CD2",1.15959475948427e-10
"11","CD300A",0.000262695654496314
"12","CD4",1.53067866886624e-12
"13","CD40LG",0.00117150565012215
"14","CD7",0.0012259202574712
"15","CD8A",8.24323296167568e-72
"16","CD8B",4.15875531305138e-13
"17","CEBPD",4.28225171464031e-07
"18","CHRM3.AS2",0.00435336268037802
"19","CMC1",5.98580089172767e-05
"20","CPNE2",0.000378704120108544
"21","CTSH",0.0183353096496902
"22","CX3CR1",1.63710625841832e-06
"23","CXXC5",4.36052958249182e-08
"24","FCRL6",1.82537059392866e-09
"25","FYB1",4.97395950051387e-13
"26","GNLY",0.00117150565012215
"27","GPR171",0.000378704120108544
"28","GZMB",0.0150711358768499
"29","GZMH",0.00472042380060935
"30","HLA.DRB1",0.0492945511401367
"31","IKZF2",2.82484555484342e-09
"32","IL7R",0.0252905401434682
"33","IRS2",0.0159170997550327
"34","ITGAM",3.95817828649497e-05
"35","ITGB1",5.06548347142103e-05
"36","JAML",1.11694673681873e-07
"37","JUNB",0.00796548889261459
"38","KDSR",0.00168682605900107
"39","KLRB1",7.78425490206741e-29
"40","KLRD1",7.64905478747205e-05
"41","LTB",0.00714941534125003
"42","LTK",5.38657721180016e-06
"43","MS4A1",0.0056099530452339
"44","NCR3",8.13389257314872e-05
"45","NFKBIA",0.00800843896935036
"46","NKG7",0.0482773540347311
"47","PHACTR2",0.00149867814361048
"48","PIK3AP1",0.00978689668172164
"49","PRF1",0.0107422545566389
"50","PTPRM",0.0100507623653314
"51","RPLP1",0.000152115114034021
"52","RPS6KA3",0.0336166000367757
"53","S100A10",0.044385723421121
"54","SCRN1",0.0266066062226538
"55","SELL",0.000246052568688848
"56","SLC4A10",1.95458880345887e-10
"57","SPOCK2",0.000262695654496314
"58","TBC1D4",0.00183908084654794
"59","TIGIT",0.00149867814361048
"60","TMSB10",0.00229634072502134
"61","TPT1",0.00117150565012215
"62","TRAC",2.87855228355406e-19
"63","TRBC2",7.75583946348871e-14
"64","TRDC",6.84008094441634e-118
"65","TRGC1",7.1557863648255e-21
"66","TYROBP",0.00541773319427803
"67","YBX3",1.43147458412156e-06
"68","ZBTB16",0.0406343342371124
